"","Species","variable","term","df","statistic","p.value"
"1","Leptoseris","fv_fm","DEPTH",2,25.3569747806912,6.60706561556924e-07
"2","Leptoseris","p","DEPTH",2,9.12110452907924,0.000970440038894793
"3","Leptoseris","Pmax","DEPTH",2,6.32665441538816,0.010395897174632
"4","Leptoseris","Sigma","DEPTH",2,0.852384943800621,0.437853489341619
"5","Pocillopora","fv_fm","DEPTH",2,9.24759845382993,0.000569460289419637
"6","Pocillopora","p","DEPTH",2,7.5669333899941,0.00178037258497467
"7","Pocillopora","Pmax","DEPTH",2,3.70336044044468,0.0340061150188892
"8","Pocillopora","Sigma","DEPTH",2,2.78171694004924,0.0751607620811364
"9","Porites","fv_fm","DEPTH",4,15.1904608128763,5.01889070208564e-09
"10","Porites","p","DEPTH",4,2.8366506128148,0.0304732752665295
"11","Porites","Pmax","DEPTH",4,7.6316361959335,3.53650485669972e-05
"12","Porites","Sigma","DEPTH",4,1.82489228529429,0.133444063623337
"13","Stylophora","fv_fm","DEPTH",4,17.4231089636669,4.00933301470022e-10
"14","Stylophora","p","DEPTH",4,7.21988137567956,5.66622680953165e-05
"15","Stylophora","Pmax","DEPTH",4,31.2187681504749,2.76686448931072e-15
"16","Stylophora","Sigma","DEPTH",4,4.71648903553504,0.00190232399387889
