Site,Depth,Other,Substrate,Seagrass,Algae,CCA,Other_Inv,Sponge,Soft_Coral,Hard_Coral
JG,5,0.03367,4.6875,0,0.11449,0.30981,0.00337,0.05388,0.04714,1.21565
IUI_N,5,0.13133,3.33715,0,0.05725,0.53879,0.07408,0.03031,0.18858,1.24596
IUI_S,5,0.1549,4.63362,0,0.07745,1.07759,0.02694,0.0202,0.00673,0.89911
JG,15,0.06061,4.40127,0,0.07072,0.28287,0.00673,0.02357,0.50175,1.118
IUI_N,15,0.05051,4.86598,0.54553,0.11449,0.36705,0.01347,0.04714,0.38052,1.15841
IUI_S,15,0.08755,5.75162,0.03367,0.06398,0.35358,0.01684,0.02357,0.07072,1.14157
JG,25,0.2795,2.18885,0,0.01347,0.11786,0.0101,0.06735,1.02371,2.76468
IUI_N,25,0.16837,3.09133,0,0.03704,0.18521,0.00337,0.07745,0.58594,2.74784
IUI_S,25,0.10102,2.89265,1.24933,0.07072,0.22562,0.01347,0.08082,0.09429,0.87554
JG,35,0.2795,2.82193,0,0.00337,0.10102,0.01684,0.13807,0.30981,2.79499
IUI_N,35,0.38052,2.49865,0,0.00673,0.04714,0.03031,0.16837,0.11786,2.56937
IUI_S,35,0.15827,6.03112,0.02357,0.05725,0.30981,0.03031,0.10439,0.1246,0.91932
JG,45,0.04041,4.23626,0,0.03367,0.03367,0.10439,0.07072,0.18184,1.76455
IUI_N,45,0.19868,4.89628,0,0.07408,0.06398,0.03704,0.14143,0.06061,1.63995
IUI_S,45,0.19531,2.77142,0,0.06061,0.11786,0,0.06735,0.10439,3.57961
