SITE,DEPTH,Coral,Prevalence,Order
IUI-N,5,Acropora,24,5
IUI-N,15,Acropora,32,5
IUI-N,25,Acropora,32,5
IUI-N,35,Acropora,25,5
IUI-N,45,Acropora,2,5
IUI-S,5,Acropora,17,5
IUI-S,15,Acropora,24,5
IUI-S,25,Acropora,13,5
IUI-S,35,Acropora,3,5
IUI-S,45,Acropora,2,5
JG,5,Acropora,24,5
JG,15,Acropora,27,5
JG,25,Acropora,29,5
JG,35,Acropora,26,5
JG,45,Acropora,3,5
IUI-N,5,Alveopora,0,1
IUI-N,15,Alveopora,0,1
IUI-N,25,Alveopora,0,1
IUI-N,35,Alveopora,0,1
IUI-N,45,Alveopora,24,1
IUI-S,5,Alveopora,0,1
IUI-S,15,Alveopora,0,1
IUI-S,25,Alveopora,1,1
IUI-S,35,Alveopora,4,1
IUI-S,45,Alveopora,32,1
JG,5,Alveopora,0,1
JG,15,Alveopora,0,1
JG,25,Alveopora,0,1
JG,35,Alveopora,0,1
JG,45,Alveopora,29,1
IUI-N,5,Leptoseris,0,2
IUI-N,15,Leptoseris,1,2
IUI-N,25,Leptoseris,6,2
IUI-N,35,Leptoseris,11,2
IUI-N,45,Leptoseris,17,2
IUI-S,5,Leptoseris,0,2
IUI-S,15,Leptoseris,0,2
IUI-S,25,Leptoseris,1,2
IUI-S,35,Leptoseris,1,2
IUI-S,45,Leptoseris,7,2
JG,5,Leptoseris,0,2
JG,15,Leptoseris,0,2
JG,25,Leptoseris,5,2
JG,35,Leptoseris,9,2
JG,45,Leptoseris,14,2
IUI-N,5,Montipora,15,4
IUI-N,15,Montipora,11,4
IUI-N,25,Montipora,31,4
IUI-N,35,Montipora,25,4
IUI-N,45,Montipora,14,4
IUI-S,5,Montipora,2,4
IUI-S,15,Montipora,6,4
IUI-S,25,Montipora,5,4
IUI-S,35,Montipora,10,4
IUI-S,45,Montipora,5,4
JG,5,Montipora,10,4
JG,15,Montipora,18,4
JG,25,Montipora,30,4
JG,35,Montipora,29,4
JG,45,Montipora,19,4
IUI-N,5,Pocillopora,14,7
IUI-N,15,Pocillopora,9,7
IUI-N,25,Pocillopora,1,7
IUI-N,35,Pocillopora,0,7
IUI-N,45,Pocillopora,0,7
IUI-S,5,Pocillopora,7,7
IUI-S,15,Pocillopora,7,7
IUI-S,25,Pocillopora,2,7
IUI-S,35,Pocillopora,1,7
IUI-S,45,Pocillopora,0,7
JG,5,Pocillopora,4,7
JG,15,Pocillopora,5,7
JG,25,Pocillopora,0,7
JG,35,Pocillopora,0,7
JG,45,Pocillopora,0,7
IUI-N,5,Porites,1,3
IUI-N,15,Porites,6,3
IUI-N,25,Porites,25,3
IUI-N,35,Porites,22,3
IUI-N,45,Porites,11,3
IUI-S,5,Porites,0,3
IUI-S,15,Porites,15,3
IUI-S,25,Porites,3,3
IUI-S,35,Porites,11,3
IUI-S,45,Porites,4,3
JG,5,Porites,5,3
JG,15,Porites,8,3
JG,25,Porites,28,3
JG,35,Porites,28,3
JG,45,Porites,19,3
IUI-N,5,Stylophora,17,6
IUI-N,15,Stylophora,22,6
IUI-N,25,Stylophora,12,6
IUI-N,35,Stylophora,11,6
IUI-N,45,Stylophora,4,6
IUI-S,5,Stylophora,28,6
IUI-S,15,Stylophora,24,6
IUI-S,25,Stylophora,13,6
IUI-S,35,Stylophora,11,6
IUI-S,45,Stylophora,15,6
JG,5,Stylophora,15,6
JG,15,Stylophora,23,6
JG,25,Stylophora,15,6
JG,35,Stylophora,20,6
JG,45,Stylophora,10,6
