"","contrast","estimate","SE","df","t.ratio","p.value"
"1","DEPTH5 - DEPTH15",78.2054545454544,15.6135644564281,459,5.00881491626706,7.7400961848717e-06
"2","DEPTH5 - DEPTH25",140.590909090909,16.1041621101911,459,8.73009773056986,0
"3","DEPTH5 - DEPTH35",177.144916911046,15.8862337690899,459,11.1508441513507,0
"4","DEPTH5 - DEPTH45",221.116507177033,15.8047226154334,459,13.9905338775836,0
"5","DEPTH15 - DEPTH25",62.3854545454543,15.6135644564281,459,3.99559336495839,0.000714323086795754
"6","DEPTH15 - DEPTH35",98.9394623655912,15.3886900394378,459,6.42936222069788,3.21501902877941e-09
"7","DEPTH15 - DEPTH45",142.911052631578,15.3045292222437,459,9.33782742064814,0
"8","DEPTH25 - DEPTH35",36.5540078201369,15.8862337690899,459,2.3009863981267,0.146379177883526
"9","DEPTH25 - DEPTH45",80.5255980861239,15.8047226154335,459,5.09503393672281,5.05405376249879e-06
"10","DEPTH35 - DEPTH45",43.971590265987,15.5826070683198,459,2.82183783966313,0.0397513720493846
